Source Current = 1e-05A, Gate Voltage = -0.2V, Measurement Time = 2000s, Measurement interval = 1s 
Time [s],Source Voltage [V],Gate Current [A],Gate Voltage [V]
510,0.0365853,-1.69277e-07,-0.2
511,0.0365829,-1.90735e-07,-0.2
512,0.0366116,-1.44243e-07,-0.2
513,0.0365973,-1.69277e-07,-0.2
514,0.0366235,-1.54972e-07,-0.2
515,0.0365877,-2.07424e-07,-0.2
516,0.0365877,-1.8239e-07,-0.2
517,0.0366092,-1.83582e-07,-0.2
518,0.0366116,-1.63317e-07,-0.2
519,0.0366163,-1.60933e-07,-0.2
520,0.0365901,-1.87159e-07,-0.2
521,0.0365925,-1.8239e-07,-0.2
522,0.0365901,-1.83582e-07,-0.2
523,0.0365925,-1.57356e-07,-0.2
524,0.0366044,-1.77622e-07,-0.2
525,0.0365996,-1.85966e-07,-0.2
526,0.0365806,-2.20537e-07,-0.2
527,0.0365949,-1.64509e-07,-0.2
528,0.0365853,-2.21729e-07,-0.2
529,0.0365925,-1.8239e-07,-0.2
530,0.0365996,-2.0504e-07,-0.2
531,0.0366068,-1.49012e-07,-0.2
532,0.0366044,-1.78814e-07,-0.2
533,0.0366092,-1.39475e-07,-0.2
534,0.036602,-1.49012e-07,-0.2
535,0.0366163,-1.04904e-07,-0.2
536,0.0366068,-1.19209e-07,-0.2
537,0.0366068,-1.89543e-07,-0.2
538,0.0365806,-1.29938e-07,-0.2
539,0.036602,-1.58548e-07,-0.2
540,0.0366163,-1.37091e-07,-0.2
541,0.0366187,-1.58548e-07,-0.2
542,0.0366092,-1.10865e-07,-0.2
543,0.0366044,-1.69277e-07,-0.2
544,0.0366092,-1.26362e-07,-0.2
545,0.0365996,-1.06096e-07,-0.2
546,0.0365996,-1.50204e-07,-0.2
547,0.0365806,-1.5378e-07,-0.2
548,0.0365877,-1.14441e-07,-0.2
549,0.0366139,-9.89437e-08,-0.2
550,0.0366044,-9.65595e-08,-0.2
551,0.0366187,-1.34706e-07,-0.2
552,0.0365496,-1.41859e-07,-0.2
553,0.0365734,-1.41859e-07,-0.2
554,0.0365734,-9.41753e-08,-0.2
555,0.0365686,-1.10865e-07,-0.2
556,0.0365949,-1.0252e-07,-0.2
557,0.0365853,-1.45435e-07,-0.2
558,0.0365686,-1.39475e-07,-0.2
559,0.0365376,-1.35899e-07,-0.2
560,0.0365615,-1.35899e-07,-0.2
561,0.0365496,-1.0252e-07,-0.2
562,0.0365281,-1.38283e-07,-0.2
563,0.036571,-1.77622e-07,-0.2
564,0.0365829,-1.22786e-07,-0.2
565,0.0365877,-1.23978e-07,-0.2
566,0.0365973,-1.12057e-07,-0.2
567,0.0365639,-1.37091e-07,-0.2
568,0.0365734,-1.35899e-07,-0.2
569,0.036571,-1.2517e-07,-0.2
570,0.036571,-1.52588e-07,-0.2
571,0.0365782,-1.27554e-07,-0.2
572,0.036571,-1.80006e-07,-0.2
573,0.0365496,-2.07424e-07,-0.2
574,0.0365686,-1.72853e-07,-0.2
575,0.0365663,-1.78814e-07,-0.2
576,0.0365663,-1.35899e-07,-0.2
577,0.0365472,-8.10623e-08,-0.2
578,0.036552,-1.13249e-07,-0.2
579,0.0365424,-1.15633e-07,-0.2
580,0.0365496,-1.3113e-07,-0.2
581,0.0365329,-1.51396e-07,-0.2
582,0.03654,-1.77622e-07,-0.2
583,0.0365376,-1.83582e-07,-0.2
584,0.03654,-9.41753e-08,-0.2
585,0.0365424,-1.64509e-07,-0.2
586,0.0365233,-1.83582e-07,-0.2
587,0.0365138,-1.4782e-07,-0.2
588,0.0365353,-2.37226e-07,-0.2
589,0.0365233,-2.01464e-07,-0.2
590,0.0365233,-1.8239e-07,-0.2
591,0.0365305,-2.02656e-07,-0.2
592,0.0365233,-1.60933e-07,-0.2
593,0.0365114,-1.27554e-07,-0.2
594,0.0365353,-2.00272e-07,-0.2
595,0.03654,-1.43051e-07,-0.2
596,0.0365496,-7.98702e-08,-0.2
597,0.0365067,-1.60933e-07,-0.2
598,0.0365448,-1.37091e-07,-0.2
599,0.0365543,-1.29938e-07,-0.2
600,0.0365305,-1.28746e-07,-0.2
601,0.0365329,-1.56164e-07,-0.2
602,0.0365329,-2.01464e-07,-0.2
603,0.0365305,-1.21593e-07,-0.2
604,0.0365186,-1.20401e-07,-0.2
605,0.0365043,-1.49012e-07,-0.2
606,0.0365281,-9.65595e-08,-0.2
607,0.0365448,-1.0848e-07,-0.2
608,0.0365353,-7.7486e-08,-0.2
609,0.0365376,-1.77622e-07,-0.2
610,0.0365448,-1.50204e-07,-0.2
611,0.0365472,-1.65701e-07,-0.2
612,0.036552,-1.16825e-07,-0.2
613,0.0365472,-2.22921e-07,-0.2
614,0.0365496,-1.27554e-07,-0.2
615,0.0365281,-1.49012e-07,-0.2
616,0.03654,-1.93119e-07,-0.2
617,0.0365448,-1.5974e-07,-0.2
618,0.036521,-1.52588e-07,-0.2
619,0.0365353,-1.71661e-07,-0.2
